"index","time_stamp","stop","stopName","number","direction","plannedTime","vehicleId","tripId","status","delay","seq_num"
1,2018-07-09 22:13:14,2821,"Łagiewniki ZUS",19,"Borek Fałęcki",2018-07-09 22:13:00,"6352185295672181176","6351558574044826390","PREDICTED",0,16
1,2018-07-09 22:13:15,311,"Salwator",2,"Salwator",2018-07-09 22:13:00,"6352185295672181147","6351558574044412708","STOPPING",0,11
1,2018-07-09 22:13:15,589,"Ruczaj",18,"Czerwone Maki P+R",2018-07-09 22:13:00,"6352185295672181548","6351558574044810003","STOPPING",0,23
1,2018-07-09 22:13:15,2688,"Norymberska",52,"Os.Piastów",2018-07-09 22:12:00,"6352185295672181660","6351558574045043469","STOPPING",1,5
1,2018-07-09 22:13:15,571,"Korona",10,"Kopiec Wandy",2018-07-09 22:13:00,"6352185295672180897","6351558574044646163","STOPPING",0,5
1,2018-07-09 22:13:17,576,"Kapelanka",22,"Borek Fałęcki",2018-07-09 22:08:00,"6352185295672180859","6351558574044908302","PREDICTED",5,27
1,2018-07-09 22:13:17,313,"Komorowskiego",2,"Cm. Rakowicki",2018-07-09 22:13:00,"6352185295672181146","6351558574044408613","PREDICTED",0,NA
1,2018-07-09 22:13:18,359,"Stradom",6,"Kurdwanów P+R",2018-07-09 22:12:00,"6352185295672181195","6351558574044543766","STOPPING",1,8
1,2018-07-09 22:13:19,325,"Wawel",13,"Bronowice",2018-07-09 22:12:00,"6352185295672181370","6351558574044699410","STOPPING",1,17
1,2018-07-09 22:13:19,362,"Miodowa",24,"Bronowice Małe",2018-07-09 22:13:00,"6352185295672181059","6351558574044961554","STOPPING",0,13
1,2018-07-09 22:13:20,61,"Bratysławska",3,"Nowy Bieżanów P+R",2018-07-09 22:13:00,"6352185295672181346","6351558574044420887","PREDICTED",0,2
1,2018-07-09 22:13:20,77,"Teatr Bagatela",8,"Bronowice Małe",2018-07-09 22:13:00,"6352185295672181360","6351558574044572434","STOPPING",0,16
1,2018-07-09 22:13:22,630,"Bieżanowska",50,"Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181642","6351558574044998428","STOPPING",0,3
1,2018-07-09 22:13:22,630,"Bieżanowska",24,"Kurdwanów P+R",2018-07-09 22:13:00,"6352185295672181042","6351558574044928786","PREDICTED",0,23
1,2018-07-09 22:13:24,621,"Cmentarz Podgórski",11,"Czerwone Maki P+R",2018-07-09 22:12:00,"6352185295672180970","6351558574044666647","STOPPING",1,6
1,2018-07-09 22:13:24,623,"Dworcowa",13,"Nowy Bieżanów P+R",2018-07-09 22:12:00,NA,"6351558574044723984","PLANNED",1,19
1,2018-07-09 22:13:24,570,"Plac Bohaterów Getta",3,"Nowy Bieżanów P+R",2018-07-09 22:11:00,"6352185295672181344","6351558574044453653","STOPPING",2,12
1,2018-07-09 22:13:25,365,"Rondo Grzegórzeckie",20,"Mały Płaszów",2018-07-09 22:13:00,"6352185295672181161","6351558574044846873","STOPPING",0,12
1,2018-07-09 22:13:25,2859,"Teatr Variété",22,"Borek Fałęcki",2018-07-09 22:12:00,"6352185295672180856","6351558574044912398","STOPPING",1,19
1,2018-07-09 22:13:26,129,"Cystersów",52,"Czerwone Maki P+R",2018-07-09 22:12:00,"6352185295672180865","6351558574045063950","STOPPING",1,18
1,2018-07-09 22:13:26,125,"Rondo Mogilskie",5,"Wzgórza K.",2018-07-09 22:12:00,NA,"6351558574044502803","PLANNED",1,NA
1,2018-07-09 22:13:26,125,"Rondo Mogilskie",9,"Nowy Bieżanów P+R",2018-07-09 22:12:00,NA,"6351558574044617486","PLANNED",1,20
1,2018-07-09 22:13:28,930,"M1 Al. Pokoju",22,"Kombinat",2018-07-09 22:13:00,"6352185295672180900","6351558574044896015","PREDICTED",0,NA
1,2018-07-09 22:13:29,408,"Rondo Czyżyńskie",52,"Os.Piastów",2018-07-09 22:12:00,"6352185295672181649","6351558574045088526","PREDICTED",1,27
1,2018-07-09 22:13:29,377,"Os.Złotego Wieku",14,"Bronowice Małe",2018-07-09 22:13:00,"6352185295672181549","6351558574044748559","STOPPING",0,3
1,2018-07-09 22:13:30,382,"Kleeberga",21,"Os.Piastów",2018-07-09 22:12:00,NA,"6351558574044883746","PLANNED",1,10
1,2018-07-09 22:13:31,413,"Os.Kolorowe",9,"Mistrzejowice",2018-07-09 22:12:00,NA,"6351558574044633869","PLANNED",1,26
1,2018-07-09 22:13:31,2745,"Rondo Kocmyrzowskie im. Ks. Gorzelanego",52,"Czerwone Maki P+R",2018-07-09 22:13:00,"6352185295672181637","6351558574045072141","PREDICTED",0,7
1,2018-07-09 22:13:32,2543,"Wańkowicza",1,"Wzgórza K.",2018-07-09 22:12:00,NA,"6351558574044359440","PLANNED",1,NA
1,2018-07-09 22:13:33,449,"Bardosa",10,"Kopiec Wandy",2018-07-09 22:13:00,"6352185295672180893","6351558574044637971","PREDICTED",0,26
1,2018-07-09 22:13:36,460,"Mrozowa",22,"Walcownia",2018-07-09 22:09:00,"6352185295672180884","6351558574044891918","PREDICTED",4,33
2,2018-07-09 22:13:36,2691,"Chmieleniec",18,"Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181551","6351558574044801812","PREDICTED",0,2
2,2018-07-09 22:13:37,3176,"Kurdwanów P+R",24,"Bronowice Małe",2018-07-09 22:13:00,"6352185295672181038","6351558574044969747","STOPPING",0,1
2,2018-07-09 22:13:39,84,"Biprostal",4,"Bronowice Małe",2018-07-09 22:13:00,"6352185295672181668","6351558574044478222","PREDICTED",0,27
2,2018-07-09 22:13:45,612,"Borsucza",22,"Kombinat",2018-07-09 22:12:00,NA,"6351558574044900111","PLANNED",1,NA
2,2018-07-09 22:13:46,577,"Słomiana",52,"Czerwone Maki P+R",2018-07-09 22:12:00,"6352185295672181640","6351558574045059853","PREDICTED",1,29
2,2018-07-09 22:13:47,572,"Smolki",11,"Mały Płaszów",2018-07-09 22:12:00,"6352185295672180940","6351558574044674838","PREDICTED",1,13
2,2018-07-09 22:13:51,360,"Plac Wolnica",8,"Borek Fałęcki",2018-07-09 22:13:00,"6352185295672181359","6351558574044592915","STOPPING",0,17
2,2018-07-09 22:13:52,1360,"Plac Wszystkich Świętych",1,"Wzgórza K.",2018-07-09 22:13:00,"6352185295672181020","6351558574044375825","PREDICTED",0,NA
2,2018-07-09 22:13:52,357,"Poczta Główna",10,"Łagiewniki",2018-07-09 22:12:00,"6352185295672180868","6351558574044654355","STOPPING",1,19
2,2018-07-09 22:13:54,89,"Bronowice",4,"Wzgórza K.",2018-07-09 22:13:00,"6352185295672181655","6351558574044474127","STOPPING",0,NA
2,2018-07-09 22:13:54,1049,"Głowackiego",24,"Bronowice Małe",2018-07-09 22:13:00,"6352185295672181055","6351558574044953361","STOPPING",0,24
2,2018-07-09 22:13:54,1049,"Głowackiego",8,"Borek Fałęcki",2018-07-09 22:13:00,"6352185295672181351","6351558574044601105","PREDICTED",0,5
2,2018-07-09 22:13:57,73,"Politechnika",50,"Prokocim",2018-07-09 22:13:00,"6352185295672181641","6351558574045014810","STOPPING",0,5
2,2018-07-09 22:13:57,73,"Politechnika",50,"Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181646","6351558574045023003","STOPPING",0,14
2,2018-07-09 22:13:58,3032,"Stary Kleparz",24,"Kurdwanów P+R",2018-07-09 22:12:00,NA,"6351558574044936979","PLANNED",1,12
2,2018-07-09 22:13:59,3036,"Szpital Narutowicza",18,"Krowodrza Górka",2018-07-09 22:12:00,"6352185295672181540","6351558574044789522","STOPPING",1,24
2,2018-07-09 22:14:00,718,"Witosa",24,"Bronowice Małe",2018-07-09 22:14:00,"6352185295672181038","6351558574044969747","STOPPING",0,2
2,2018-07-09 22:14:05,681,"Teligi",9,"Mistrzejowice",2018-07-09 22:13:00,"6352185295672180984","6351558574044609295","STOPPING",1,4
2,2018-07-09 22:14:09,621,"Cmentarz Podgórski",3,"Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181363","6351558574044433174","STOPPING",1,11
2,2018-07-09 22:14:09,624,"Kabel",50,"Prokocim",2018-07-09 22:10:00,"6352185295672181650","6351558574045002522","STOPPING",4,15
2,2018-07-09 22:14:09,624,"Kabel",6,"Salwator",2018-07-09 22:11:00,"6352185295672181043","6351558574044527382","PREDICTED",3,7
2,2018-07-09 22:14:10,570,"Plac Bohaterów Getta",19,"Dworzec Tow.",2018-07-09 22:14:00,"6352185295672181381","6351558574044838678","STOPPING",0,NA
2,2018-07-09 22:14:12,370,"Dąbie",14,"Mistrzejowice",2018-07-09 22:13:00,"6352185295672180894","6351558574044760845","STOPPING",1,21
2,2018-07-09 22:14:13,129,"Cystersów",5,"Krowodrza Górka",2018-07-09 22:14:00,"6352185295672181159","6351558574044510994","STOPPING",0,19
2,2018-07-09 22:14:14,130,"Białucha",4,"Bronowice Małe",2018-07-09 22:13:00,"6352185295672181647","6351558574044482319","STOPPING",1,17
2,2018-07-09 22:14:16,2871,"TAURON Arena Kraków Al. Pokoju",1,"Wzgórza K.",2018-07-09 22:10:00,"6352185295672181166","6351558574044367631","STOPPING",4,NA
2,2018-07-09 22:14:18,392,"DH Wanda",14,"Mistrzejowice",2018-07-09 22:14:00,"6352185295672181557","6351558574044756750","STOPPING",0,32
2,2018-07-09 22:14:23,461,"Blokowa",22,"Walcownia",2018-07-09 22:10:00,"6352185295672180884","6351558574044891918","PREDICTED",4,34
3,2018-07-09 22:14:25,2690,"Kampus UJ",18,"Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672181548","6351558574044810003","STOPPING",0,24
