"index","time_stamp","stop","stopName","number","direction","plannedTime","vehicleId","tripId","delay","seq_num"
1,2018-06-27 07:34:59,113,"AWF",52,"Czerwone Maki P+R",2018-06-27 07:33:00,"6352185295672181662","6351558574045224708",1,14
5,2018-06-27 07:35:16,584,"Kobierzyńska",52,"Czerwone Maki P+R",2018-06-27 07:32:00,"6352185295672180839","6351558574045277954",3,30
6,2018-06-27 07:35:24,2539,"Rondo Hipokratesa",52,"Os.Piastów",2018-06-27 07:35:00,"6352185295672181637","6351558574045245186",0,33
7,2018-06-27 07:35:27,361,"Orzeszkowej",52,"Os.Piastów",2018-06-27 07:35:00,"6352185295672181668","6351558574045261571",0,13
8,2018-06-27 07:35:32,361,"Orzeszkowej",52,"Czerwone Maki P+R",2018-06-27 07:34:00,"6352185295672180840","6351558574045216516",1,25
13,2018-06-27 07:36:00,2811,"Muzeum Lotnictwa",52,"Os.Piastów",2018-06-27 07:34:00,"6352185295672181652","6351558574045253379",2,23
15,2018-06-27 07:36:11,2811,"Muzeum Lotnictwa",52,"Czerwone Maki P+R",2018-06-27 07:34:00,"6352185295672181662","6351558574045224708",2,15
16,2018-06-27 07:36:17,388,"Dunikowskiego",52,"Czerwone Maki P+R",2018-06-27 07:35:00,"6352185295672180894","6351558574045232900",1,4
17,2018-06-27 07:36:20,125,"Rondo Mogilskie",52,"Czerwone Maki P+R",2018-06-27 07:32:00,"6352185295672181660","6351558574045220610",4,19
17,2018-06-27 07:36:22,2744,"Plac Centralny im. R.Reagana",52,"Czerwone Maki P+R",2018-06-27 07:35:00,"6352185295672181661","6351558574045228802",1,9
20,2018-06-27 07:36:35,126,"Lubicz",52,"Os.Piastów",2018-06-27 07:36:00,"6352185295672181648","6351558574045257474",0,18
25,2018-06-27 07:37:04,388,"Dunikowskiego",52,"Os.Piastów",2018-06-27 07:37:00,"6352185295672181637","6351558574045245186",0,34
28,2018-06-27 07:37:14,3038,"Czerwone Maki P+R",52,"Os.Piastów",2018-06-27 07:37:00,"6352185295672181669","6351558574045269763",0,1
28,2018-06-27 07:37:17,113,"AWF",52,"Os.Piastów",2018-06-27 07:36:00,"6352185295672181652","6351558574045253379",1,24
