"index","time_stamp","stop","number","direction","plannedTime","vehicleId","tripId","status"
1,2018-07-09 22:13:14,2821,"19","Borek Fałęcki",2018-07-09 22:13:00,"6352185295672181176","6351558574044826390","PREDICTED"
1,2018-07-09 22:13:15,311,"2","Salwator",2018-07-09 22:13:00,"6352185295672181147","6351558574044412708","STOPPING"
1,2018-07-09 22:13:15,589,"18","Czerwone Maki P+R",2018-07-09 22:13:00,"6352185295672181548","6351558574044810003","STOPPING"
1,2018-07-09 22:13:15,2688,"52","Os.Piastów",2018-07-09 22:12:00,"6352185295672181660","6351558574045043469","STOPPING"
1,2018-07-09 22:13:15,571,"10","Kopiec Wandy",2018-07-09 22:13:00,"6352185295672180897","6351558574044646163","STOPPING"
1,2018-07-09 22:13:17,576,"22","Borek Fałęcki",2018-07-09 22:08:00,"6352185295672180859","6351558574044908302","PREDICTED"
1,2018-07-09 22:13:17,313,"2","Cm. Rakowicki",2018-07-09 22:13:00,"6352185295672181146","6351558574044408613","PREDICTED"
1,2018-07-09 22:13:18,359,"6","Kurdwanów P+R",2018-07-09 22:12:00,"6352185295672181195","6351558574044543766","STOPPING"
1,2018-07-09 22:13:19,325,"13","Bronowice",2018-07-09 22:12:00,"6352185295672181370","6351558574044699410","STOPPING"
1,2018-07-09 22:13:19,362,"24","Bronowice Małe",2018-07-09 22:13:00,"6352185295672181059","6351558574044961554","STOPPING"
1,2018-07-09 22:13:20,61,"3","Nowy Bieżanów P+R",2018-07-09 22:13:00,"6352185295672181346","6351558574044420887","PREDICTED"
1,2018-07-09 22:13:20,77,"8","Bronowice Małe",2018-07-09 22:13:00,"6352185295672181360","6351558574044572434","STOPPING"
1,2018-07-09 22:13:22,630,"50","Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181642","6351558574044998428","STOPPING"
1,2018-07-09 22:13:22,630,"24","Kurdwanów P+R",2018-07-09 22:13:00,"6352185295672181042","6351558574044928786","PREDICTED"
1,2018-07-09 22:13:24,621,"11","Czerwone Maki P+R",2018-07-09 22:12:00,"6352185295672180970","6351558574044666647","STOPPING"
1,2018-07-09 22:13:24,623,"13","Nowy Bieżanów P+R",2018-07-09 22:12:00,NA,"6351558574044723984","PLANNED"
1,2018-07-09 22:13:24,570,"3","Nowy Bieżanów P+R",2018-07-09 22:11:00,"6352185295672181344","6351558574044453653","STOPPING"
1,2018-07-09 22:13:25,365,"20","Mały Płaszów",2018-07-09 22:13:00,"6352185295672181161","6351558574044846873","STOPPING"
1,2018-07-09 22:13:25,2859,"22","Borek Fałęcki",2018-07-09 22:12:00,"6352185295672180856","6351558574044912398","STOPPING"
1,2018-07-09 22:13:26,129,"52","Czerwone Maki P+R",2018-07-09 22:12:00,"6352185295672180865","6351558574045063950","STOPPING"
1,2018-07-09 22:13:26,125,"5","Wzgórza K.",2018-07-09 22:12:00,NA,"6351558574044502803","PLANNED"
1,2018-07-09 22:13:26,125,"9","Nowy Bieżanów P+R",2018-07-09 22:12:00,NA,"6351558574044617486","PLANNED"
1,2018-07-09 22:13:28,930,"22","Kombinat",2018-07-09 22:13:00,"6352185295672180900","6351558574044896015","PREDICTED"
1,2018-07-09 22:13:29,408,"52","Os.Piastów",2018-07-09 22:12:00,"6352185295672181649","6351558574045088526","PREDICTED"
1,2018-07-09 22:13:29,377,"14","Bronowice Małe",2018-07-09 22:13:00,"6352185295672181549","6351558574044748559","STOPPING"
1,2018-07-09 22:13:30,382,"21","Os.Piastów",2018-07-09 22:12:00,NA,"6351558574044883746","PLANNED"
1,2018-07-09 22:13:31,413,"9","Mistrzejowice",2018-07-09 22:12:00,NA,"6351558574044633869","PLANNED"
1,2018-07-09 22:13:31,2745,"52","Czerwone Maki P+R",2018-07-09 22:13:00,"6352185295672181637","6351558574045072141","PREDICTED"
1,2018-07-09 22:13:32,2543,"1","Wzgórza K.",2018-07-09 22:12:00,NA,"6351558574044359440","PLANNED"
1,2018-07-09 22:13:33,449,"10","Kopiec Wandy",2018-07-09 22:13:00,"6352185295672180893","6351558574044637971","PREDICTED"
1,2018-07-09 22:13:36,460,"22","Walcownia",2018-07-09 22:09:00,"6352185295672180884","6351558574044891918","PREDICTED"
2,2018-07-09 22:13:36,2691,"18","Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181551","6351558574044801812","PREDICTED"
2,2018-07-09 22:13:37,3176,"24","Bronowice Małe",2018-07-09 22:13:00,"6352185295672181038","6351558574044969747","STOPPING"
2,2018-07-09 22:13:39,84,"4","Bronowice Małe",2018-07-09 22:13:00,"6352185295672181668","6351558574044478222","PREDICTED"
2,2018-07-09 22:13:45,612,"22","Kombinat",2018-07-09 22:12:00,NA,"6351558574044900111","PLANNED"
2,2018-07-09 22:13:46,577,"52","Czerwone Maki P+R",2018-07-09 22:12:00,"6352185295672181640","6351558574045059853","PREDICTED"
2,2018-07-09 22:13:47,572,"11","Mały Płaszów",2018-07-09 22:12:00,"6352185295672180940","6351558574044674838","PREDICTED"
2,2018-07-09 22:13:51,360,"8","Borek Fałęcki",2018-07-09 22:13:00,"6352185295672181359","6351558574044592915","STOPPING"
2,2018-07-09 22:13:52,1360,"1","Wzgórza K.",2018-07-09 22:13:00,"6352185295672181020","6351558574044375825","PREDICTED"
2,2018-07-09 22:13:52,357,"10","Łagiewniki",2018-07-09 22:12:00,"6352185295672180868","6351558574044654355","STOPPING"
2,2018-07-09 22:13:54,89,"4","Wzgórza K.",2018-07-09 22:13:00,"6352185295672181655","6351558574044474127","STOPPING"
2,2018-07-09 22:13:54,1049,"24","Bronowice Małe",2018-07-09 22:13:00,"6352185295672181055","6351558574044953361","STOPPING"
2,2018-07-09 22:13:54,1049,"8","Borek Fałęcki",2018-07-09 22:13:00,"6352185295672181351","6351558574044601105","PREDICTED"
2,2018-07-09 22:13:57,73,"50","Prokocim",2018-07-09 22:13:00,"6352185295672181641","6351558574045014810","STOPPING"
2,2018-07-09 22:13:57,73,"50","Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181646","6351558574045023003","STOPPING"
2,2018-07-09 22:13:58,3032,"24","Kurdwanów P+R",2018-07-09 22:12:00,NA,"6351558574044936979","PLANNED"
2,2018-07-09 22:13:59,3036,"18","Krowodrza Górka",2018-07-09 22:12:00,"6352185295672181540","6351558574044789522","STOPPING"
2,2018-07-09 22:14:00,718,"24","Bronowice Małe",2018-07-09 22:14:00,"6352185295672181038","6351558574044969747","STOPPING"
2,2018-07-09 22:14:05,681,"9","Mistrzejowice",2018-07-09 22:13:00,"6352185295672180984","6351558574044609295","STOPPING"
2,2018-07-09 22:14:09,621,"3","Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181363","6351558574044433174","STOPPING"
2,2018-07-09 22:14:09,624,"50","Prokocim",2018-07-09 22:10:00,"6352185295672181650","6351558574045002522","STOPPING"
2,2018-07-09 22:14:09,624,"6","Salwator",2018-07-09 22:11:00,"6352185295672181043","6351558574044527382","PREDICTED"
2,2018-07-09 22:14:10,570,"19","Dworzec Tow.",2018-07-09 22:14:00,"6352185295672181381","6351558574044838678","STOPPING"
2,2018-07-09 22:14:12,370,"14","Mistrzejowice",2018-07-09 22:13:00,"6352185295672180894","6351558574044760845","STOPPING"
2,2018-07-09 22:14:13,129,"5","Krowodrza Górka",2018-07-09 22:14:00,"6352185295672181159","6351558574044510994","STOPPING"
2,2018-07-09 22:14:14,130,"4","Bronowice Małe",2018-07-09 22:13:00,"6352185295672181647","6351558574044482319","STOPPING"
2,2018-07-09 22:14:16,2871,"1","Wzgórza K.",2018-07-09 22:10:00,"6352185295672181166","6351558574044367631","STOPPING"
2,2018-07-09 22:14:18,392,"14","Mistrzejowice",2018-07-09 22:14:00,"6352185295672181557","6351558574044756750","STOPPING"
2,2018-07-09 22:14:23,461,"22","Walcownia",2018-07-09 22:10:00,"6352185295672180884","6351558574044891918","PREDICTED"
3,2018-07-09 22:14:25,2690,"18","Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672181548","6351558574044810003","STOPPING"
3,2018-07-09 22:14:25,615,"19","Borek Fałęcki",2018-07-09 22:14:00,"6352185295672181176","6351558574044826390","STOPPING"
3,2018-07-09 22:14:28,922,"8","Bronowice Małe",2018-07-09 22:14:00,"6352185295672181362","6351558574044580628","PREDICTED"
3,2018-07-09 22:14:29,322,"13","Nowy Bieżanów P+R",2018-07-09 22:14:00,"6352185295672181345","6351558574044683027","PREDICTED"
