"index","time_stamp","stop","number","direction","plannedTime","vehicleId","tripId","status"
1,2018-07-10 15:45:34,126,"52","Czerwone Maki P+R",2018-07-10 15:44:00,"6352185295672180878","6351558574045039626","STOPPING"
1,2018-07-10 15:45:34,2691,"18","Czerwone Maki P+R",2018-07-10 15:45:00,"6352185295672181549","6351558574044785677","STOPPING"
1,2018-07-10 15:45:34,2690,"18","Krowodrza Górka",2018-07-10 15:45:00,"6352185295672181560","6351558574044781580","STOPPING"
1,2018-07-10 15:45:35,615,"8","Borek Fałęcki",2018-07-10 15:45:00,"6352185295672181357","6351558574044576779","PREDICTED"
1,2018-07-10 15:45:36,611,"11","Czerwone Maki P+R",2018-07-10 15:45:00,"6352185295672180971","6351558574044666895","PREDICTED"
1,2018-07-10 15:45:37,610,"11","Czerwone Maki P+R",2018-07-10 15:44:00,"6352185295672180971","6351558574044666895","STOPPING"
1,2018-07-10 15:45:38,359,"8","Bronowice Małe",2018-07-10 15:44:00,"6352185295672181358","6351558574044560394","PREDICTED"
1,2018-07-10 15:45:38,2742,"3","Nowy Bieżanów P+R",2018-07-10 15:44:00,"6352185295672181380","6351558574044421135","STOPPING"
1,2018-07-10 15:45:39,1360,"13","Bronowice",2018-07-10 15:44:00,NA,"6351558574044691467","PLANNED"
1,2018-07-10 15:45:39,1360,"13","Nowy Bieżanów P+R",2018-07-10 15:40:00,"6352185295672181383","6351558574044720136","STOPPING"
1,2018-07-10 15:45:39,357,"52","Os.Piastów",2018-07-10 15:42:00,"6352185295672181646","6351558574045072392","STOPPING"
1,2018-07-10 15:45:39,358,"19","Borek Fałęcki",2018-07-10 15:45:00,"6352185295672181174","6351558574044830734","STOPPING"
1,2018-07-10 15:45:40,1049,"44","Kopiec Wandy",2018-07-10 15:45:00,"6352185295672180855","6351558574044978185","STOPPING"
1,2018-07-10 15:45:40,88,"14","Bronowice Małe",2018-07-10 15:43:00,"6352185295672181541","6351558574044757001","STOPPING"
1,2018-07-10 15:45:41,79,"13","Nowy Bieżanów P+R",2018-07-10 15:44:00,NA,"6351558574044724234","PLANNED"
1,2018-07-10 15:45:43,718,"6","Salwator",2018-07-10 15:44:00,NA,"6351558574044535823","PLANNED"
1,2018-07-10 15:45:44,681,"3","Krowodrza Górka",2018-07-10 15:45:00,"6352185295672181348","6351558574044445710","STOPPING"
1,2018-07-10 15:45:44,2582,"3","Nowy Bieżanów P+R",2018-07-10 15:44:00,"6352185295672181364","6351558574044453901","STOPPING"
1,2018-07-10 15:45:44,3158,"13","Nowy Bieżanów P+R",2018-07-10 15:44:00,"6352185295672181377","6351558574044716044","STOPPING"
1,2018-07-10 15:45:45,624,"50","Krowodrza Górka",2018-07-10 15:44:00,"6352185295672181650","6351558574045002769","STOPPING"
1,2018-07-10 15:45:45,623,"3","Krowodrza Górka",2018-07-10 15:44:00,"6352185295672181347","6351558574044441615","STOPPING"
1,2018-07-10 15:45:45,2870,"9","Nowy Bieżanów P+R",2018-07-10 15:44:00,NA,"6351558574044634120","PLANNED"
