"index","time_stamp","stop","number","direction","plannedTime","vehicleId","tripId","status"
1,2018-07-27 18:19:45,3176,"24","Bronowice Małe",2018-07-27 18:18:00,NA,"6351558574046747920","PLANNED"
1,2018-07-27 18:19:46,571,"8","Borek Fałęcki",2018-07-27 18:15:00,"6352185295672181383","6351558574046428427","STOPPING"
1,2018-07-27 18:19:47,922,"19","Borek Fałęcki",2018-07-27 18:19:00,"6352185295672181370","6351558574046661905","STOPPING"
1,2018-07-27 18:19:48,572,"8","Bronowice Małe",2018-07-27 18:18:00,NA,"6351558574046412048","PLANNED"
1,2018-07-27 18:19:49,576,"52","Czerwone Maki P+R",2018-07-27 18:19:00,"6352185295672181650","6351558574046870795","PREDICTED"
1,2018-07-27 18:19:51,359,"18","Czerwone Maki P+R",2018-07-27 18:17:00,"6352185295672181557","6351558574046633231","STOPPING"
1,2018-07-27 18:19:52,357,"52","Czerwone Maki P+R",2018-07-27 18:18:00,"6352185295672181661","6351558574046874892","STOPPING"
1,2018-07-27 18:19:52,363,"22","Walcownia",2018-07-27 18:15:00,"6352185295672180844","6351558574046739724","STOPPING"
1,2018-07-27 18:19:52,1049,"13","Nowy Bieżanów P+R",2018-07-27 18:18:00,NA,"6351558574046518542","PLANNED"
1,2018-07-27 18:19:53,135,"14","Mistrzejowice",2018-07-27 18:20:00,"6352185295672180841","6351558574046567693","STOPPING"
1,2018-07-27 18:19:53,77,"24","Kurdwanów P+R",2018-07-27 18:19:00,"6352185295672181043","6351558574046764303","PREDICTED"
1,2018-07-27 18:19:53,79,"14","Bronowice Małe",2018-07-27 18:17:00,"6352185295672180878","6351558574046571788","PREDICTED"
1,2018-07-27 18:19:53,83,"8","Bronowice Małe",2018-07-27 18:18:00,"6352185295672181352","6351558574046403854","PREDICTED"
1,2018-07-27 18:19:54,70,"18","Krowodrza Górka",2018-07-27 18:20:00,"6352185295672181544","6351558574046608656","STOPPING"
1,2018-07-27 18:19:57,632,"6","Salwator",2018-07-27 18:18:00,NA,"6351558574046387468","PLANNED"
1,2018-07-27 18:19:57,682,"13","Bronowice",2018-07-27 18:20:00,"6352185295672181369","6351558574046543119","STOPPING"
1,2018-07-27 18:19:57,681,"13","Nowy Bieżanów P+R",2018-07-27 18:18:00,NA,"6351558574046551308","PLANNED"
1,2018-07-27 18:19:58,3158,"24","Kurdwanów P+R",2018-07-27 18:15:00,"6352185295672181058","6351558574046756111","STOPPING"
1,2018-07-27 18:19:58,3158,"3","Krowodrza Górka",2018-07-27 18:18:00,"6352185295672181371","6351558574046256402","STOPPING"
1,2018-07-27 18:19:58,624,"13","Nowy Bieżanów P+R",2018-07-27 18:19:00,"6352185295672181342","6351558574046555404","PREDICTED"
1,2018-07-27 18:20:00,367,"14","Bronowice Małe",2018-07-27 18:20:00,"6352185295672181551","6351558574046575885","STOPPING"
1,2018-07-27 18:20:00,370,"1","Salwator",2018-07-27 18:20:00,"6352185295672181159","6351558574046223629","STOPPING"
1,2018-07-27 18:20:00,129,"52","Czerwone Maki P+R",2018-07-27 18:20:00,"6352185295672181665","6351558574046878988","STOPPING"
1,2018-07-27 18:20:00,125,"52","Os.Piastów",2018-07-27 18:18:00,"6352185295672181644","6351558574046903564","STOPPING"
1,2018-07-27 18:20:01,3040,"4","Wzgórza K.",2018-07-27 18:18:00,"6352185295672181670","6351558574046321931","STOPPING"
1,2018-07-27 18:20:04,113,"44","Bronowice",2018-07-27 18:19:00,"6352185295672180891","6351558574046817547","STOPPING"
